securityId,symbol
26,BTC/USDC[F1]
132,BTC/USDC[221230]
215,ETH/USDC[LTT]
313,BTC/USDC[230331]
502,LINK/USDC
30,ETH/USDC[F1]
506,MATIC/USDC
509,DOT/USDC
130,ETH/USDC[InfiDM]
131,BTC/USDC[220930]
214,ETH/USDC[Settle]
503,GRT
53,ETH/USDC
129,BTC/USDC[InfiDM]
126,BTC/USDC[220325]
133,BTC/USDC[Settle]
134,BTC/USDC[LTT]
504,GRT/USDC
465,CHZ
467,EXRD
469,XRP
471,UNI
473,AXS
475,AAVE
501,LINK
505,MATIC
507,EQO Dollars
508,DOT
29,ETH/USDC[F]
51,USDT/USDC
52,BTC/USDC
450,EQO
57,ETH/BTC
61,BCH/USDC
128,BTC/USDC[Infi]
1,USDC
2,ETH
3,BTC
4,USDT
11,BCH
25,BTC/USDC[F]
511,XLM
452,EQO/USDC
466,CHZ/USDC
468,EXRD/USDC
470,XRP/USDC
127,BTC/USDC[220624]
472,UNI/USDC
474,AXS/USDC
476,AAVE/USDC
500,BTC/ShitCoin
510,EQO-D/USDC
512,XLM/USDC
